variable	gene	gene_id	seqnames	logFC	CI.L	CI.R	P.Value	adj.P.Val
positive regulation of cytokine production	HP	ENSG00000257017.9	chr16	1.21889964097955	0.531047573480771	1.90675170847833	0.00053717066918867	0.00487958993627413
positive regulation of cell death	HP	ENSG00000257017.9	chr16	1.21889964097955	0.531047573480771	1.90675170847833	0.00053717066918867	0.00487958993627413
negative regulation of cell differentiation	FOXJ1	ENSG00000129654.8	chr17	1.01138761810799	0.537195214596908	1.48558002161907	3.22122178752357e-05	0.000773412265037089
actin filament-based process	FOXJ1	ENSG00000129654.8	chr17	1.01138761810799	0.537195214596908	1.48558002161907	3.22122178752357e-05	0.000773412265037089
IL-18 signaling pathway	HSPB1	ENSG00000106211.10	chr7	0.983772691939299	0.482554280207877	1.48499110367072	0.000128282058493226	0.00192125072398038
regulation of kinase activity	HSPB1	ENSG00000106211.10	chr7	0.983772691939299	0.482554280207877	1.48499110367072	0.000128282058493226	0.00192125072398038
positive regulation of cytokine production	HSPB1	ENSG00000106211.10	chr7	0.983772691939299	0.482554280207877	1.48499110367072	0.000128282058493226	0.00192125072398038
VEGFA-VEGFR2 signaling	HSPB1	ENSG00000106211.10	chr7	0.983772691939299	0.482554280207877	1.48499110367072	0.000128282058493226	0.00192125072398038
hemopoiesis	HSPB1	ENSG00000106211.10	chr7	0.983772691939299	0.482554280207877	1.48499110367072	0.000128282058493226	0.00192125072398038
tube morphogenesis	TNFRSF12A	ENSG00000006327.14	chr16	0.905939873947275	0.531730205920798	1.28014954197375	2.48685953634269e-06	0.000164818358896955
positive regulation of cell death	TNFRSF12A	ENSG00000006327.14	chr16	0.905939873947275	0.531730205920798	1.28014954197375	2.48685953634269e-06	0.000164818358896955
Cellular responses to stress	HSPA1A	ENSG00000204389.10	chr6	0.891529463502041	0.261083273801125	1.52197565320296	0.00565307059946271	0.0249153201715909
regulation of cytoskeleton organization	HSPA1A	ENSG00000204389.10	chr6	0.891529463502041	0.261083273801125	1.52197565320296	0.00565307059946271	0.0249153201715909
positive regulation of cytokine production	HSPA1A	ENSG00000204389.10	chr6	0.891529463502041	0.261083273801125	1.52197565320296	0.00565307059946271	0.0249153201715909
VEGFA-VEGFR2 signaling	HSPA1A	ENSG00000204389.10	chr6	0.891529463502041	0.261083273801125	1.52197565320296	0.00565307059946271	0.0249153201715909
Viral Infection Pathways	HSPA1A	ENSG00000204389.10	chr6	0.891529463502041	0.261083273801125	1.52197565320296	0.00565307059946271	0.0249153201715909
Cellular response to starvation	HSPA1A	ENSG00000204389.10	chr6	0.891529463502041	0.261083273801125	1.52197565320296	0.00565307059946271	0.0249153201715909
positive regulation of immune response	HSPA1A	ENSG00000204389.10	chr6	0.891529463502041	0.261083273801125	1.52197565320296	0.00565307059946271	0.0249153201715909
positive regulation of cell death	C1QA	ENSG00000173372.17	chr1	0.838099678272079	0.434630501683096	1.24156885486106	5.11588192963639e-05	0.00103952082246465
positive regulation of immune response	C1QA	ENSG00000173372.17	chr1	0.838099678272079	0.434630501683096	1.24156885486106	5.11588192963639e-05	0.00103952082246465
hemopoiesis	C1QA	ENSG00000173372.17	chr1	0.838099678272079	0.434630501683096	1.24156885486106	5.11588192963639e-05	0.00103952082246465
Cellular response to starvation	C1QA	ENSG00000173372.17	chr1	0.838099678272079	0.434630501683096	1.24156885486106	5.11588192963639e-05	0.00103952082246465
positive regulation of cytokine production	C1QA	ENSG00000173372.17	chr1	0.838099678272079	0.434630501683096	1.24156885486106	5.11588192963639e-05	0.00103952082246465
positive regulation of cytokine production	CD163	ENSG00000177575.13	chr12	0.825987195037861	0.250866287651913	1.40110810242381	0.00495109203808127	0.0226374398375586
actin filament-based process	RHOD	ENSG00000173156.7	chr11	0.810400980600631	0.463991831383794	1.15681012981747	5.27923776213688e-06	0.000254678330545535
Cellular responses to stress	H3C6	ENSG00000274750.3	chr6	0.810116642592536	0.365275813072993	1.25495747211208	0.00037591662871298	0.00385790560422301
Viral Infection Pathways	H3C6	ENSG00000274750.3	chr6	0.810116642592536	0.365275813072993	1.25495747211208	0.00037591662871298	0.00385790560422301
protein phosphorylation	PKN3	ENSG00000160447.7	chr9	0.80357247175823	0.480785629242873	1.12635931427359	1.29820291309575e-06	0.000109504480024034
Cellular responses to stress	VENTX	ENSG00000151650.8	chr10	0.797162805754485	0.347529082159115	1.24679652934986	0.000533786918408933	0.0048686172757517
cellular response to cytokine stimulus	PYCARD	ENSG00000103490.14	chr16	0.791555028660008	0.443165284555297	1.13994477276472	9.67471310136576e-06	0.000370089921422176
apoptotic signaling pathway	PYCARD	ENSG00000103490.14	chr16	0.791555028660008	0.443165284555297	1.13994477276472	9.67471310136576e-06	0.000370089921422176
regulation of cytoskeleton organization	PYCARD	ENSG00000103490.14	chr16	0.791555028660008	0.443165284555297	1.13994477276472	9.67471310136576e-06	0.000370089921422176
Viral Infection Pathways	PYCARD	ENSG00000103490.14	chr16	0.791555028660008	0.443165284555297	1.13994477276472	9.67471310136576e-06	0.000370089921422176
positive regulation of immune response	PYCARD	ENSG00000103490.14	chr16	0.791555028660008	0.443165284555297	1.13994477276472	9.67471310136576e-06	0.000370089921422176
hemopoiesis	PYCARD	ENSG00000103490.14	chr16	0.791555028660008	0.443165284555297	1.13994477276472	9.67471310136576e-06	0.000370089921422176
regulation of kinase activity	PYCARD	ENSG00000103490.14	chr16	0.791555028660008	0.443165284555297	1.13994477276472	9.67471310136576e-06	0.000370089921422176
positive regulation of cytokine production	PYCARD	ENSG00000103490.14	chr16	0.791555028660008	0.443165284555297	1.13994477276472	9.67471310136576e-06	0.000370089921422176
positive regulation of cell death	PYCARD	ENSG00000103490.14	chr16	0.791555028660008	0.443165284555297	1.13994477276472	9.67471310136576e-06	0.000370089921422176
TYROBP causal network in microglia	PYCARD	ENSG00000103490.14	chr16	0.791555028660008	0.443165284555297	1.13994477276472	9.67471310136576e-06	0.000370089921422176
Cellular response to starvation	PYCARD	ENSG00000103490.14	chr16	0.791555028660008	0.443165284555297	1.13994477276472	9.67471310136576e-06	0.000370089921422176
Cellular response to starvation	DIO3	ENSG00000197406.7	chr14	0.783825782884512	0.450468975437968	1.11718259033106	4.7372061937021e-06	0.000240816471130025
protein phosphorylation	FGFR4	ENSG00000160867.15	chr5	0.751052374679974	0.392439307077957	1.10966544228199	4.44291392401739e-05	0.000951870818494542
regulation of kinase activity	FGFR4	ENSG00000160867.15	chr5	0.751052374679974	0.392439307077957	1.10966544228199	4.44291392401739e-05	0.000951870818494542
actin filament-based process	KIF19	ENSG00000196169.15	chr17	0.750811351680222	0.384438367377688	1.11718433598276	6.42755879492284e-05	0.00120108124358881
regulation of kinase activity	CCNP	ENSG00000105219.10	chr19	0.748756673501149	0.317714942067446	1.17979840493485	0.000689103864514643	0.00573229331988926
positive regulation of immune response	LILRA2	ENSG00000239998.6	chr19	0.720791782055107	0.334083255212505	1.10750030889771	0.000273610802169271	0.00311696546760384
hemopoiesis	LILRA2	ENSG00000239998.6	chr19	0.720791782055107	0.334083255212505	1.10750030889771	0.000273610802169271	0.00311696546760384
positive regulation of cytokine production	LILRA2	ENSG00000239998.6	chr19	0.720791782055107	0.334083255212505	1.10750030889771	0.000273610802169271	0.00311696546760384
cellular response to cytokine stimulus	LILRA2	ENSG00000239998.6	chr19	0.720791782055107	0.334083255212505	1.10750030889771	0.000273610802169271	0.00311696546760384
TYROBP causal network in microglia	SLC1A5	ENSG00000105281.12	chr19	0.716975325471465	0.39409790753555	1.03985274340738	1.52079885396393e-05	0.00047942024834348
hemopoiesis	SLC1A5	ENSG00000105281.12	chr19	0.716975325471465	0.39409790753555	1.03985274340738	1.52079885396393e-05	0.00047942024834348
negative regulation of cell differentiation	H4C5	ENSG00000276966.2	chr6	0.706589666867941	0.289771344205031	1.12340798953085	0.000923737048240628	0.00696880986978555
Cellular responses to stress	H4C5	ENSG00000276966.2	chr6	0.706589666867941	0.289771344205031	1.12340798953085	0.000923737048240628	0.00696880986978555
Viral Infection Pathways	H4C5	ENSG00000276966.2	chr6	0.706589666867941	0.289771344205031	1.12340798953085	0.000923737048240628	0.00696880986978555
in utero embryonic development	SOCS3	ENSG00000184557.4	chr17	0.705604568148635	0.231790575704346	1.17941856059292	0.00357754320923379	0.0179167709521761
IL-18 signaling pathway	SOCS3	ENSG00000184557.4	chr17	0.705604568148635	0.231790575704346	1.17941856059292	0.00357754320923379	0.0179167709521761
cellular response to cytokine stimulus	SOCS3	ENSG00000184557.4	chr17	0.705604568148635	0.231790575704346	1.17941856059292	0.00357754320923379	0.0179167709521761
tube morphogenesis	SOCS3	ENSG00000184557.4	chr17	0.705604568148635	0.231790575704346	1.17941856059292	0.00357754320923379	0.0179167709521761
hemopoiesis	SOCS3	ENSG00000184557.4	chr17	0.705604568148635	0.231790575704346	1.17941856059292	0.00357754320923379	0.0179167709521761
regulation of kinase activity	CARD14	ENSG00000141527.18	chr17	0.702621434959824	0.316326481236265	1.08891638868338	0.000382228305812395	0.00389450004406408
cellular response to cytokine stimulus	CARD14	ENSG00000141527.18	chr17	0.702621434959824	0.316326481236265	1.08891638868338	0.000382228305812395	0.00389450004406408
positive regulation of cytokine production	SIGLEC1	ENSG00000088827.13	chr20	0.699824142898507	0.255414412554598	1.14423387324242	0.00207523678858533	0.0121613543233052
positive regulation of immune response	MICB	ENSG00000204516.10	chr6	0.69548425076417	0.232138631179347	1.15882987034899	0.00332332506557467	0.0169123499838699
hemopoiesis	MICB	ENSG00000204516.10	chr6	0.69548425076417	0.232138631179347	1.15882987034899	0.00332332506557467	0.0169123499838699
positive regulation of immune response	SH2B2	ENSG00000160999.10	chr7	0.686865661154565	0.409112501093463	0.964618821215668	1.52092208274331e-06	0.000119178109942256
cellular response to cytokine stimulus	SH2B2	ENSG00000160999.10	chr7	0.686865661154565	0.409112501093463	0.964618821215668	1.52092208274331e-06	0.000119178109942256
actin filament-based process	SH2B2	ENSG00000160999.10	chr7	0.686865661154565	0.409112501093463	0.964618821215668	1.52092208274331e-06	0.000119178109942256
tube morphogenesis	GJA4	ENSG00000187513.9	chr1	0.675001233091575	0.320856240056266	1.02914622612688	0.000198958498539343	0.00256309326133487
Cellular response to starvation	NAALADL1	ENSG00000168060.16	chr11	0.670245690936402	0.375997526287795	0.964493855585008	9.1899321049377e-06	0.000359250768756171
