seqnames	start	end	width	strand	source	type	score	phase	gene_id	gene_type	gene_name	level	hgnc_id	havana_gene	transcript_id	transcript_type	transcript_name	transcript_support_level	tag	havana_transcript	exon_number	exon_id	ont	protein_id	ccdsid
chr1	14404	29570	15167	-	HAVANA	gene	NA	NA	ENSG00000227232.5	unprocessed_pseudogene	WASH7P	2	HGNC:38034	OTTHUMG00000000958.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	185217	195411	10195	-	HAVANA	gene	NA	NA	ENSG00000279457.4	unprocessed_pseudogene	WASH9P	2	HGNC:53981	OTTHUMG00000191963.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	257864	359681	101818	-	HAVANA	gene	NA	NA	ENSG00000228463.10	transcribed_processed_pseudogene	AP006222.1	1	NA	OTTHUMG00000002552.3	NA	NA	NA	NA	pseudo_consens	NA	NA	NA	NA	NA	NA
chr1	629062	629433	372	+	HAVANA	gene	NA	NA	ENSG00000225972.1	unprocessed_pseudogene	MTND1P23	2	HGNC:42092	OTTHUMG00000002338.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	629640	630683	1044	+	HAVANA	gene	NA	NA	ENSG00000225630.1	unprocessed_pseudogene	MTND2P28	2	HGNC:42129	OTTHUMG00000002336.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	631074	632616	1543	+	HAVANA	gene	NA	NA	ENSG00000237973.1	unprocessed_pseudogene	MTCO1P12	2	HGNC:52014	OTTHUMG00000002333.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	632757	633438	682	+	HAVANA	gene	NA	NA	ENSG00000229344.1	unprocessed_pseudogene	MTCO2P12	2	HGNC:52028	OTTHUMG00000002334.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	633696	634376	681	+	HAVANA	gene	NA	NA	ENSG00000248527.1	unprocessed_pseudogene	MTATP6P1	2	HGNC:44575	OTTHUMG00000002335.2	NA	NA	NA	NA	overlapping_locus	NA	NA	NA	NA	NA	NA
chr1	634376	634922	547	+	HAVANA	gene	NA	NA	ENSG00000198744.5	unprocessed_pseudogene	MTCO3P12	2	HGNC:52042	OTTHUMG00000002337.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	778747	810065	31319	+	HAVANA	gene	NA	NA	ENSG00000237491.10	lncRNA	LINC01409	2	HGNC:50701	OTTHUMG00000002404.21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	825138	859446	34309	+	HAVANA	gene	NA	NA	ENSG00000228794.10	lncRNA	LINC01128	2	HGNC:49377	OTTHUMG00000196004.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	944203	959309	15107	-	HAVANA	gene	NA	NA	ENSG00000188976.11	protein_coding	NOC2L	2	HGNC:24517	OTTHUMG00000040720.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	960584	965719	5136	+	HAVANA	gene	NA	NA	ENSG00000187961.14	protein_coding	KLHL17	2	HGNC:24023	OTTHUMG00000040721.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	995966	998051	2086	-	HAVANA	gene	NA	NA	ENSG00000272512.1	lncRNA	RP11-54O7.17	2	NA	OTTHUMG00000185581.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	998962	1000172	1211	-	HAVANA	gene	NA	NA	ENSG00000188290.11	protein_coding	HES4	2	HGNC:24149	OTTHUMG00000040758.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1001138	1014540	13403	+	HAVANA	gene	NA	NA	ENSG00000187608.10	protein_coding	ISG15	2	HGNC:4053	OTTHUMG00000040777.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1020120	1056118	35999	+	HAVANA	gene	NA	NA	ENSG00000188157.15	protein_coding	AGRN	2	HGNC:329	OTTHUMG00000040778.7	NA	NA	NA	NA	overlapping_locus	NA	NA	NA	NA	NA	NA
chr1	1059708	1069355	9648	+	HAVANA	gene	NA	NA	ENSG00000217801.10	transcribed_unprocessed_pseudogene	RP11-465B22.3	2	NA	OTTHUMG00000000629.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1081818	1116361	34544	-	HAVANA	gene	NA	NA	ENSG00000131591.18	protein_coding	C1orf159	2	HGNC:26062	OTTHUMG00000000745.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1216909	1232067	15159	-	HAVANA	gene	NA	NA	ENSG00000078808.19	protein_coding	SDF4	2	HGNC:24188	OTTHUMG00000001812.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1232237	1235041	2805	+	HAVANA	gene	NA	NA	ENSG00000176022.7	protein_coding	B3GALT6	2	HGNC:17978	OTTHUMG00000001813.3	NA	NA	NA	NA	retrogene	NA	NA	NA	NA	NA	NA
chr1	1253909	1273864	19956	-	HAVANA	gene	NA	NA	ENSG00000160087.21	protein_coding	UBE2J2	2	HGNC:19268	OTTHUMG00000001911.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1280436	1292029	11594	+	HAVANA	gene	NA	NA	ENSG00000162572.21	protein_coding	SCNN1D	2	HGNC:10601	OTTHUMG00000002081.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1292390	1309609	17220	-	HAVANA	gene	NA	NA	ENSG00000131584.19	protein_coding	ACAP3	2	HGNC:16754	OTTHUMG00000002235.5	NA	NA	NA	NA	ncRNA_host	NA	NA	NA	NA	NA	NA
chr1	1308597	1311677	3081	+	HAVANA	gene	NA	NA	ENSG00000169972.12	protein_coding	PUSL1	2	HGNC:26914	OTTHUMG00000003361.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1	1311585	1324687	13103	-	HAVANA	gene	NA	NA	ENSG00000127054.21	protein_coding	INTS11	1	HGNC:26052	OTTHUMG00000003330.13	NA	NA	NA	NA	overlapping_locus	NA	NA	NA	NA	NA	NA
chr1	1317581	1318689	1109	-	HAVANA	gene	NA	NA	ENSG00000240731.1	lncRNA	RP5-890O3.9	2	NA	OTTHUMG00000003331.1	NA	NA	NA	NA	overlapping_locus	NA	NA	NA	NA	NA	NA
