variable	gene	gene_id	seqnames	logFC	CI.L	CI.R	P.Value	adj.P.Val
response to toxic substance	HBB	ENSG00000244734.4	chr11	-1.46326588190112	-1.97507605218727	-0.951455711614978	3.00213418927877e-08	2.32673602221535e-06
carboxylic acid transport	HBB	ENSG00000244734.4	chr11	-1.46326588190112	-1.97507605218727	-0.951455711614978	3.00213418927877e-08	2.32673602221535e-06
Glycine, serine and threonine metabolism	ALAS2	ENSG00000158578.21	chrX	-1.06088336923151	-1.5512473119182	-0.57051942654481	2.48654662689002e-05	0.000392287995652738
response to toxic substance	HBA2	ENSG00000188536.13	chr16	-0.956765932783369	-1.35845080536102	-0.555081060205716	3.5769534329986e-06	8.70187487825372e-05
carboxylic acid transport	ABCC11	ENSG00000121270.16	chr16	-0.865365372624232	-1.15918257967208	-0.571548165576383	1.16648188745761e-08	1.15693794474205e-06
steroid hormone biosynthetic process	CRH	ENSG00000147571.5	chr8	-0.808541704716007	-1.15621050905823	-0.460872900373784	5.98514837112038e-06	0.00012803523280181
response to toxic substance	HBA1	ENSG00000206172.8	chr16	-0.778205798038847	-1.10168620541997	-0.454725390657722	2.86682184607526e-06	7.4235481335229e-05
carboxylic acid transport	MYLK2	ENSG00000101306.11	chr20	-0.777410047079166	-1.0896814079222	-0.465138686236133	1.29754796892708e-06	3.97292093367014e-05
Valine, leucine and isoleucine degradation	ALDH1A1	ENSG00000165092.13	chr9	-0.763614463670542	-0.992312608343048	-0.534916318998037	1.17084785653005e-10	3.61002938025342e-08
Biological oxidations	ALDH1A1	ENSG00000165092.13	chr9	-0.763614463670542	-0.992312608343048	-0.534916318998037	1.17084785653005e-10	3.61002938025342e-08
Cysteine and methionine metabolism	ALDH1A1	ENSG00000165092.13	chr9	-0.763614463670542	-0.992312608343048	-0.534916318998037	1.17084785653005e-10	3.61002938025342e-08
monocarboxylic acid metabolic process	ALDH1A1	ENSG00000165092.13	chr9	-0.763614463670542	-0.992312608343048	-0.534916318998037	1.17084785653005e-10	3.61002938025342e-08
steroid hormone biosynthetic process	ALDH1A1	ENSG00000165092.13	chr9	-0.763614463670542	-0.992312608343048	-0.534916318998037	1.17084785653005e-10	3.61002938025342e-08
Trans-sulfuration, one-carbon metabolism and related pathways	ALDH1A1	ENSG00000165092.13	chr9	-0.763614463670542	-0.992312608343048	-0.534916318998037	1.17084785653005e-10	3.61002938025342e-08
organic acid catabolic process	ALDH1A1	ENSG00000165092.13	chr9	-0.763614463670542	-0.992312608343048	-0.534916318998037	1.17084785653005e-10	3.61002938025342e-08
alcohol metabolic process	ALDH1A1	ENSG00000165092.13	chr9	-0.763614463670542	-0.992312608343048	-0.534916318998037	1.17084785653005e-10	3.61002938025342e-08
response to toxic substance	ALDH1A1	ENSG00000165092.13	chr9	-0.763614463670542	-0.992312608343048	-0.534916318998037	1.17084785653005e-10	3.61002938025342e-08
monocarboxylic acid metabolic process	ALB	ENSG00000163631.17	chr4	-0.750207269692912	-1.09459176869054	-0.405822770695285	2.18879452269778e-05	0.000352049494766946
steroid hormone biosynthetic process	ALB	ENSG00000163631.17	chr4	-0.750207269692912	-1.09459176869054	-0.405822770695285	2.18879452269778e-05	0.000352049494766946
response to toxic substance	ALB	ENSG00000163631.17	chr4	-0.750207269692912	-1.09459176869054	-0.405822770695285	2.18879452269778e-05	0.000352049494766946
acyl-CoA metabolic process	CD38	ENSG00000004468.13	chr4	-0.699517275722889	-0.945572512813349	-0.453462038632429	3.56171190544448e-08	2.64480418612142e-06
steroid hormone biosynthetic process	CD38	ENSG00000004468.13	chr4	-0.699517275722889	-0.945572512813349	-0.453462038632429	3.56171190544448e-08	2.64480418612142e-06
carboxylic acid transport	CD38	ENSG00000004468.13	chr4	-0.699517275722889	-0.945572512813349	-0.453462038632429	3.56171190544448e-08	2.64480418612142e-06
estrous cycle	SLC22A6	ENSG00000197901.12	chr11	-0.679197612227932	-1.04176232638166	-0.316632898074202	0.00025495226699492	0.00230611479769704
carboxylic acid transport	SLC22A6	ENSG00000197901.12	chr11	-0.679197612227932	-1.04176232638166	-0.316632898074202	0.00025495226699492	0.00230611479769704
response to toxic substance	MPO	ENSG00000005381.8	chr17	-0.669129682271975	-0.937331955985953	-0.400927408557998	1.23271568008339e-06	3.80906459490692e-05
estrous cycle	MPO	ENSG00000005381.8	chr17	-0.669129682271975	-0.937331955985953	-0.400927408557998	1.23271568008339e-06	3.80906459490692e-05
monocarboxylic acid metabolic process	MPO	ENSG00000005381.8	chr17	-0.669129682271975	-0.937331955985953	-0.400927408557998	1.23271568008339e-06	3.80906459490692e-05
acyl-CoA metabolic process	ADHFE1	ENSG00000147576.17	chr8	-0.658447731763644	-0.837370271239789	-0.479525192287499	1.48330173659987e-12	1.0518834265098e-09
organic acid catabolic process	ADHFE1	ENSG00000147576.17	chr8	-0.658447731763644	-0.837370271239789	-0.479525192287499	1.48330173659987e-12	1.0518834265098e-09
cellular modified amino acid metabolic process	ADHFE1	ENSG00000147576.17	chr8	-0.658447731763644	-0.837370271239789	-0.479525192287499	1.48330173659987e-12	1.0518834265098e-09
estrous cycle	HES5	ENSG00000197921.6	chr1	-0.619894959189274	-0.978777061232989	-0.261012857145559	0.000738361563204437	0.00510091673206456
NABA MATRISOME ASSOCIATED	S100B	ENSG00000160307.10	chr21	-0.614933633474589	-0.759639486466066	-0.470227780483112	4.76979703546168e-16	1.35300062707906e-12
monocarboxylic acid metabolic process	ETNPPL	ENSG00000164089.9	chr4	-0.5945449854852	-0.78255096664391	-0.40653900432649	9.78800200417331e-10	1.73529040531488e-07
monocarboxylic acid metabolic process	HSD17B8	ENSG00000204228.4	chr6	-0.584884336091366	-0.783033946488773	-0.38673472569396	1.08569126096054e-08	1.09988279672881e-06
steroid hormone biosynthetic process	HSD17B8	ENSG00000204228.4	chr6	-0.584884336091366	-0.783033946488773	-0.38673472569396	1.08569126096054e-08	1.09988279672881e-06
acyl-CoA metabolic process	HSD17B8	ENSG00000204228.4	chr6	-0.584884336091366	-0.783033946488773	-0.38673472569396	1.08569126096054e-08	1.09988279672881e-06
carboxylic acid transport	KCNE5	ENSG00000176076.7	chrX	-0.579126547286674	-0.848402675977213	-0.309850418596135	2.77154726722126e-05	0.000424619254782501
monocarboxylic acid metabolic process	RBP1	ENSG00000114115.10	chr3	-0.56346669717372	-0.703172381383987	-0.423761012963452	1.12610480302104e-14	2.66192407020789e-11
steroid hormone biosynthetic process	RBP1	ENSG00000114115.10	chr3	-0.56346669717372	-0.703172381383987	-0.423761012963452	1.12610480302104e-14	2.66192407020789e-11
