variable	gene	gene_id	seqnames	logFC	CI.L	CI.R	P.Value	adj.P.Val
response to salt	HBB	ENSG00000244734.4	chr11	-1.11095329954535	-1.84078481769123	-0.381121781399468	0.00290833932585375	0.0153513124892385
cellular component morphogenesis	TNNT2	ENSG00000118194.20	chr1	-1.10921327906493	-1.49908608446	-0.719340473669858	3.48070717800007e-08	1.37130194182153e-05
response to salt	TNNT2	ENSG00000118194.20	chr1	-1.10921327906493	-1.49908608446	-0.719340473669858	3.48070717800007e-08	1.37130194182153e-05
amide metabolic process	PCSK1	ENSG00000175426.11	chr5	-1.08106691887683	-1.41961584931587	-0.742517988437804	6.80019392243818e-10	1.60745250669901e-06
response to salt	PCSK1	ENSG00000175426.11	chr5	-1.08106691887683	-1.41961584931587	-0.742517988437804	6.80019392243818e-10	1.60745250669901e-06
brain development	PCSK1	ENSG00000175426.11	chr5	-1.08106691887683	-1.41961584931587	-0.742517988437804	6.80019392243818e-10	1.60745250669901e-06
regulation of secretion	PCSK1	ENSG00000175426.11	chr5	-1.08106691887683	-1.41961584931587	-0.742517988437804	6.80019392243818e-10	1.60745250669901e-06
synaptic signaling	SV2C	ENSG00000122012.14	chr5	-0.876016918891627	-1.29120707506007	-0.460826762723182	3.90330424285997e-05	0.000877346498834911
regulation of secretion	SV2C	ENSG00000122012.14	chr5	-0.876016918891627	-1.29120707506007	-0.460826762723182	3.90330424285997e-05	0.000877346498834911
modulation of chemical synaptic transmission	SV2C	ENSG00000122012.14	chr5	-0.876016918891627	-1.29120707506007	-0.460826762723182	3.90330424285997e-05	0.000877346498834911
brain development	MAS1	ENSG00000130368.7	chr6	-0.87166160318907	-1.26211513725736	-0.481208069120782	1.37139939162547e-05	0.000455516570759346
dicarboxylic acid metabolic process	ALDH1A1	ENSG00000165092.13	chr9	-0.866272242063928	-1.19384388290941	-0.53870060121844	2.81840189964949e-07	4.49139260030659e-05
small molecule biosynthetic process	ALDH1A1	ENSG00000165092.13	chr9	-0.866272242063928	-1.19384388290941	-0.53870060121844	2.81840189964949e-07	4.49139260030659e-05
monocarboxylic acid metabolic process	ALDH1A1	ENSG00000165092.13	chr9	-0.866272242063928	-1.19384388290941	-0.53870060121844	2.81840189964949e-07	4.49139260030659e-05
organic acid catabolic process	ALDH1A1	ENSG00000165092.13	chr9	-0.866272242063928	-1.19384388290941	-0.53870060121844	2.81840189964949e-07	4.49139260030659e-05
Amino acid metabolism	ALDH1A1	ENSG00000165092.13	chr9	-0.866272242063928	-1.19384388290941	-0.53870060121844	2.81840189964949e-07	4.49139260030659e-05
regulation of secretion	ALDH1A1	ENSG00000165092.13	chr9	-0.866272242063928	-1.19384388290941	-0.53870060121844	2.81840189964949e-07	4.49139260030659e-05
regulation of secretion	CYP2C8	ENSG00000138115.15	chr10	-0.857338334998453	-1.20541542019161	-0.509261249805295	1.67078707934989e-06	0.000126684826845222
nucleobase-containing small molecule metabolic process	CYP2C8	ENSG00000138115.15	chr10	-0.857338334998453	-1.20541542019161	-0.509261249805295	1.67078707934989e-06	0.000126684826845222
small molecule biosynthetic process	CYP2C8	ENSG00000138115.15	chr10	-0.857338334998453	-1.20541542019161	-0.509261249805295	1.67078707934989e-06	0.000126684826845222
monocarboxylic acid metabolic process	CYP2C8	ENSG00000138115.15	chr10	-0.857338334998453	-1.20541542019161	-0.509261249805295	1.67078707934989e-06	0.000126684826845222
brain development	P2RY12	ENSG00000169313.10	chr3	-0.841008066297285	-1.30604749009048	-0.375968642504087	0.000412516843338587	0.00411733032306206
response to salt	P2RY12	ENSG00000169313.10	chr3	-0.841008066297285	-1.30604749009048	-0.375968642504087	0.000412516843338587	0.00411733032306206
